Quotazioni Immobiliari : Valori di Mercato - Semestre 2012/1 - elaborazione del 30-MAG-19
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;9;Magazzini;NORMALE;P;1200;2400;L;3,5;7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;5;Negozi;OTTIMO; ;6500;13000;L;24,4;48,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;5;Negozi;NORMALE;P;3600;7200;L;12;24;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;6;Uffici;NORMALE;P;3800;5800;L;9,5;14,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;18;Uffici strutturati;NORMALE;P;4200;6300;L;12,3;18,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;10;Laboratori;NORMALE;P;2200;4400;L;6,5;12,8;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B5;NA00002519;20;Abitazioni civili;NORMALE;P;4400;6600;L;11;16,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B5;NA00002519;21;Abitazioni di tipo economico;NORMALE; ;3100;4700;L;7,8;11,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B5;NA00002519;21;Abitazioni di tipo economico;SCADENTE;P;2300;3500;L;6,8;10,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B5;NA00002519;19;Abitazioni signorili;NORMALE;P;5700;8600;L;12,9;19,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B5;NA00002519;16;Autorimesse;NORMALE;P;2250;3400;L;7,5;11,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B5;NA00002519;13;Box;NORMALE;P;3300;5000;L;11;16,6;N;
